Time (s),Uncertainty (s)
8.002283257895199,0.05
7.696590920935695,0.05
7.598132427219755,0.05
7.701580899282687,0.05
7.629681092934676,0.05
7.780410162547804,0.05
7.674685735633153,0.05
7.947434104395127,0.05
7.790385924953192,0.05
7.667511928823862,0.05
7.578913803601304,0.05
7.595473274390933,0.05
7.6943241579838215,0.05
7.4247797992834235,0.05
7.79462413234177,0.05
7.631004265231852,0.05
7.516567131485633,0.05
7.829549114532956,0.05
7.747028574149397,0.05
7.753151575184344,0.05
7.456686634069361,0.05
7.4601240667969595,0.05
7.653768563139392,0.05
7.8118185544416505,0.05
7.713062691892891,0.05
7.638483725180091,0.05
7.7564183150857104,0.05
7.524065770953606,0.05
7.6396416626013695,0.05
7.855798173685825,0.05
7.827504548385575,0.05
7.736055383735983,0.05
7.746809055703401,0.05
7.620510144542096,0.05
7.492909537055203,0.05
7.7066389058475435,0.05
7.63612453417263,0.05
7.916224005110394,0.05
7.870074519887771,0.05
7.934905039926045,0.05
7.830632960345764,0.05
7.9283064315247955,0.05
7.672529506407542,0.05
7.687484950184209,0.05
7.773722845780674,0.05
7.713264169739326,0.05
7.653262895016411,0.05
7.612820484494009,0.05
7.781253115085702,0.05
7.792357909203135,0.05
7.618562241395357,0.05
7.746839541911884,0.05
7.677791684749663,0.05
7.615642530063396,0.05
7.699009270599697,0.05
7.762722856480839,0.05
7.904269377800139,0.05
7.918689892997882,0.05
7.846555669573326,0.05
7.684961963206926,0.05
7.674752241369808,0.05
7.823187449156637,0.05
7.677607878130327,0.05
7.935499992239987,0.05
7.454509471116329,0.05
7.706050510969078,0.05
7.818505725349634,0.05
7.6841380171001825,0.05
7.701325735078595,0.05
7.674640870701006,0.05
7.545931520554055,0.05
7.638325907740519,0.05
7.833718482339313,0.05
7.5235044693561655,0.05
7.812392715635224,0.05
8.0303977312395,0.05
7.680699644919999,0.05
7.656350695323699,0.05
7.772405561034251,0.05
7.676390182752544,0.05
7.790368080499449,0.05
7.65398505725463,0.05
7.924212116669864,0.05
7.748007993717489,0.05
7.878768581645619,0.05
7.765101249069262,0.05
7.60277900704895,0.05
7.691886982484259,0.05
7.847573684638524,0.05
7.635593243744493,0.05
7.97990883832087,0.05
7.890560360293681,0.05
7.702620655908238,0.05
7.875384592816495,0.05
7.672160789857522,0.05
7.893284826620277,0.05
8.112047098389057,0.05
7.673242555172225,0.05
7.794699916195614,0.05
7.887022470267551,0.05
7.679295457630822,0.05
7.795078406070058,0.05
7.707424339327735,0.05
7.969225988829816,0.05
7.5449998902359,0.05
7.738501166887653,0.05
7.892478720145962,0.05
7.694764881543246,0.05
7.49362504871022,0.05
7.543986831711935,0.05
7.6154289669922015,0.05
7.734138923770893,0.05
7.756904645521614,0.05
7.818346265945094,0.05
7.608981264809855,0.05
7.636352619401229,0.05
7.719073783646398,0.05
7.8653177840557325,0.05
7.9102643299266715,0.05
7.909502399887496,0.05
7.8394052399123,0.05
7.755280152425041,0.05
7.628162420175719,0.05
7.714607429588531,0.05
7.7541990677274395,0.05
7.654402797942908,0.05
7.547364313174031,0.05
7.9540450161826985,0.05
7.735116359460854,0.05
7.701960276984498,0.05
7.729395031240642,0.05
7.49517339268417,0.05
7.499337566326122,0.05
7.604486349616531,0.05
7.5927647340770115,0.05
7.094014746413167,0.05
7.540401981404016,0.05
7.6007163326963685,0.05
7.832821901709412,0.05
7.508555975549311,0.05
7.844902010714688,0.05
7.504204639783282,0.05
8.137134731517376,0.05
7.744718950370747,0.05
7.340959876663537,0.05
7.7366234334894814,0.05
7.729951899130729,0.05
7.7495427201983595,0.05
7.577577630181271,0.05
7.712624901045488,0.05
7.612155642661596,0.05
7.876813146506268,0.05
7.955619840176453,0.05
7.8136178186303695,0.05
7.800268278696114,0.05
7.894854748715369,0.05
7.412501545353008,0.05
7.759516373857635,0.05
7.829890738702472,0.05
7.692331078499326,0.05
7.676009253060506,0.05
7.576319492408247,0.05
7.804838523744919,0.05
7.5312077678407015,0.05
7.84518247672799,0.05
7.779432318528995,0.05
7.674661141554141,0.05
7.856383843844129,0.05
7.606946051605384,0.05
7.736377712388428,0.05
7.681072736359005,0.05
7.9107172467144276,0.05
7.840118690810208,0.05
7.706362126881327,0.05
7.677026060141275,0.05
7.791149888996114,0.05
7.877575719515928,0.05
7.950798835720466,0.05
7.738078292392586,0.05
7.500425033092273,0.05
7.712467558999087,0.05
7.693032841906189,0.05
7.946094644349024,0.05
7.877082502464045,0.05
7.7670338233041365,0.05
7.852866187244924,0.05
7.889580252933173,0.05
7.5241248848978195,0.05
7.898644106035742,0.05
7.486068534812513,0.05
7.594241470813523,0.05
7.672547812459843,0.05
7.7669244468581,0.05
7.898406790998537,0.05
7.610582910615327,0.05
7.909413954780385,0.05
7.64064696310058,0.05
7.8831514876434925,0.05
8.146706475107692,0.05
7.636030100622318,0.05
7.777454615852303,0.05
7.838956575806276,0.05
7.48565619374275,0.05
7.906810628478301,0.05
7.862781157816678,0.05
7.743518930668749,0.05
7.760043172434763,0.05
7.76765459778665,0.05
7.796818461219757,0.05
7.881818396260354,0.05
7.983200169076622,0.05
7.740845144640805,0.05
7.656768442252647,0.05
7.79842088441552,0.05
7.763261334371011,0.05
7.844328981314466,0.05
8.231091318504461,0.05
7.704940852337826,0.05
7.580333390894464,0.05
7.650359975643573,0.05
7.780807628743376,0.05
7.460034898455852,0.05
7.7141011125852845,0.05
7.681723240496819,0.05
7.935822351714588,0.05
7.8247847802205674,0.05
7.688666518368525,0.05
7.752224479442503,0.05
7.816756689836971,0.05
7.93975026406738,0.05
7.8334062803903075,0.05
7.67441349649087,0.05
7.76676289845683,0.05
7.5263346668838444,0.05
7.700264998309626,0.05
7.797264004898645,0.05
7.908073269667177,0.05
7.711402793618355,0.05
7.686808204577936,0.05
7.939033134233786,0.05
7.4399352443527516,0.05
7.578736545015001,0.05
7.663371916454645,0.05
7.868943940287452,0.05
7.664676764830674,0.05
7.9409151198144174,0.05
7.739338234373099,0.05
7.7944435923383075,0.05
7.6134066958453355,0.05
7.561644995460087,0.05
7.777850379291833,0.05
7.5929450477501,0.05
7.770292412989162,0.05
7.695852799451958,0.05
7.774017300423583,0.05
7.486944506713125,0.05
8.004483019136261,0.05
7.83293270624826,0.05
7.847425642358403,0.05
7.8186393697201,0.05
7.527330452497824,0.05
7.728851427245648,0.05
7.828765509693018,0.05
7.659565739059259,0.05
7.678527760626069,0.05
7.704256416243431,0.05
7.744315976967993,0.05
7.818549729983502,0.05
7.76841489739682,0.05
7.778860737329511,0.05
7.641644999137418,0.05
7.8978711999629105,0.05
7.618774106716725,0.05
7.865797146263299,0.05
7.594939868363178,0.05
7.473874898715847,0.05
7.948335717636681,0.05
7.5926094056718405,0.05
7.884343916432334,0.05
7.790939610780499,0.05
7.673048770148094,0.05
7.767985102819078,0.05
7.868208050219751,0.05
7.7375250359551435,0.05
7.952101206460756,0.05
7.641266022448506,0.05
7.729663579224994,0.05
7.8970676119046805,0.05
7.72701193185749,0.05
7.720559785253951,0.05
7.907337110672781,0.05
7.900610641702202,0.05
7.6957923512301605,0.05
8.012253682085783,0.05
7.623937460299776,0.05
7.923481646628644,0.05
7.7767199938751155,0.05
7.764628413727346,0.05
7.702384441604753,0.05
7.8911761606559265,0.05
7.7447172419424595,0.05
7.733380985445087,0.05
7.814884747651394,0.05
7.484032091713714,0.05
7.686013880095704,0.05
7.477919063261629,0.05
7.870567866574042,0.05
7.520581265968908,0.05
7.794870556541806,0.05
7.876626674122951,0.05
7.853796751301196,0.05
7.648200047351239,0.05
7.745839125651968,0.05
7.83332448194853,0.05
7.696090117939838,0.05
7.809685144849897,0.05
7.631692139731125,0.05
7.812990357561979,0.05
7.908564844049096,0.05
7.707318828174198,0.05
7.696806206147453,0.05
7.541331840442284,0.05
7.741268766742329,0.05
7.58873113505103,0.05
7.721435246969104,0.05
7.697243336977957,0.05
7.624247174954703,0.05
7.981118826607337,0.05
8.04802705111715,0.05
7.708541201908135,0.05
7.669671342285279,0.05
7.957112986670535,0.05
7.649974855582672,0.05
7.812964729312011,0.05
7.810926333462505,0.05
7.501217711897552,0.05
7.811735768828539,0.05
7.553918581748829,0.05
7.618034661805901,0.05
7.5959895435054925,0.05
7.908729162906117,0.05
7.957005400291825,0.05
7.7451313100904615,0.05
7.63683049050107,0.05
7.676197968960394,0.05
7.739165191793593,0.05
7.656946194065394,0.05
7.726158551331475,0.05
8.043751814059322,0.05
7.928808361487969,0.05
7.814389340986913,0.05
7.712980347181902,0.05
7.668605884789525,0.05
7.854924576081629,0.05
7.721836233294866,0.05
7.829035071612697,0.05
7.852265897654733,0.05
7.8245450845684115,0.05
7.861926853317759,0.05
7.860884664173746,0.05
7.5256475330398365,0.05
7.650512882073527,0.05
7.800427597294153,0.05
7.742598239202976,0.05
7.933266523895156,0.05
7.697335868170405,0.05
7.6797322352525885,0.05
7.9087055656171295,0.05
7.641354548391481,0.05
