Time (s),Uncertainty (s)
7.65,0.05
7.75,0.05
7.65,0.05
7.95,0.05
7.63,0.05
7.76,0.05
7.85,0.05
7.92,0.05
7.69,0.05
7.58,0.05
7.7,0.05
7.83,0.05
7.51,0.05
7.75,0.05
7.73,0.05
7.57,0.05
7.61,0.05
7.76,0.05
8.07,0.05
7.74,0.05
7.88,0.05
7.9,0.05
7.44,0.05
8.02,0.05
7.62,0.05
7.65,0.05
7.73,0.05
8.03,0.05
7.61,0.05
7.76,0.05
7.51,0.05
7.59,0.05
7.69,0.05
7.85,0.05
7.76,0.05
7.86,0.05
7.71,0.05
7.69,0.05
7.69,0.05
7.86,0.05
7.66,0.05
7.54,0.05
7.74,0.05
7.64,0.05
7.62,0.05
7.67,0.05
7.88,0.05
7.68,0.05
7.93,0.05
7.91,0.05
7.68,0.05
7.6,0.05
7.56,0.05
7.6,0.05
7.8,0.05
7.63,0.05
7.81,0.05
7.84,0.05
7.76,0.05
7.75,0.05
7.77,0.05
7.66,0.05
7.98,0.05
7.68,0.05
7.72,0.05
7.71,0.05
7.53,0.05
7.8,0.05
7.76,0.05
7.65,0.05
7.58,0.05
7.64,0.05
7.75,0.05
7.57,0.05
7.63,0.05
8.03,0.05
7.68,0.05
7.55,0.05
7.77,0.05
7.82,0.05
